country,country_code,year,gini,Region,income_group
United States,USA,1963.0,36.7,North America,High income
United States,USA,1964.0,37.4,North America,High income
United States,USA,1965.0,36.8,North America,High income
United States,USA,1966.0,37.1,North America,High income
United States,USA,1967.0,36.9,North America,High income
United Kingdom,GBR,1968.0,26.8,Europe & Central Asia,High income
United States,USA,1968.0,36.3,North America,High income
United Kingdom,GBR,1969.0,27.9,Europe & Central Asia,High income
United States,USA,1969.0,36.0,North America,High income
France,FRA,1970.0,37.1,Europe & Central Asia,High income
United Kingdom,GBR,1970.0,28.0,Europe & Central Asia,High income
United States,USA,1970.0,36.6,North America,High income
Canada,CAN,1971.0,37.2,North America,High income
United Kingdom,GBR,1971.0,29.3,Europe & Central Asia,High income
United States,USA,1971.0,36.9,North America,High income
United Kingdom,GBR,1972.0,28.8,Europe & Central Asia,High income
United States,USA,1972.0,36.7,North America,High income
Canada,CAN,1973.0,34.9,North America,High income
United Kingdom,GBR,1973.0,28.8,Europe & Central Asia,High income
United States,USA,1973.0,36.1,North America,High income
United Kingdom,GBR,1974.0,29.0,Europe & Central Asia,High income
United States,USA,1974.0,35.5,North America,High income
Canada,CAN,1975.0,34.1,North America,High income
France,FRA,1975.0,35.9,Europe & Central Asia,High income
United Kingdom,GBR,1975.0,27.9,Europe & Central Asia,High income
Sweden,SWE,1975.0,24.3,Europe & Central Asia,High income
United States,USA,1975.0,35.6,North America,High income
United Kingdom,GBR,1976.0,27.6,Europe & Central Asia,High income
United States,USA,1976.0,35.6,North America,High income
Canada,CAN,1977.0,33.7,North America,High income
United Kingdom,GBR,1977.0,27.1,Europe & Central Asia,High income
India,IND,1977.0,29.7,South Asia,Lower middle income
Italy,ITA,1977.0,34.0,Europe & Central Asia,High income
United States,USA,1977.0,35.5,North America,High income
United Kingdom,GBR,1978.0,27.2,Europe & Central Asia,High income
Italy,ITA,1978.0,33.3,Europe & Central Asia,High income
United States,USA,1978.0,34.8,North America,High income
Canada,CAN,1979.0,33.5,North America,High income
France,FRA,1979.0,34.0,Europe & Central Asia,High income
United Kingdom,GBR,1979.0,27.4,Europe & Central Asia,High income
Israel,ISR,1979.0,36.3,Middle East & North Africa,High income
Italy,ITA,1979.0,33.3,Europe & Central Asia,High income
Norway,NOR,1979.0,26.9,Europe & Central Asia,High income
Panama,PAN,1979.0,48.7,Latin America & Caribbean,High income
United States,USA,1979.0,34.8,North America,High income
Argentina,ARG,1980.0,40.8,Latin America & Caribbean,Upper middle income
Colombia,COL,1980.0,55.1,Latin America & Caribbean,Upper middle income
Spain,ESP,1980.0,34.5,Europe & Central Asia,High income
United Kingdom,GBR,1980.0,28.5,Europe & Central Asia,High income
Italy,ITA,1980.0,32.9,Europe & Central Asia,High income
Madagascar,MDG,1980.0,46.8,Sub-Saharan Africa,Low income
United States,USA,1980.0,34.7,North America,High income
Australia,AUS,1981.0,31.3,East Asia & Pacific,High income
Brazil,BRA,1981.0,57.9,Latin America & Caribbean,Upper middle income
Canada,CAN,1981.0,33.0,North America,High income
China,CHN,1981.0,28.2,East Asia & Pacific,Upper middle income
Costa Rica,CRI,1981.0,47.5,Latin America & Caribbean,High income
United Kingdom,GBR,1981.0,29.7,Europe & Central Asia,High income
Italy,ITA,1981.0,31.6,Europe & Central Asia,High income
Sweden,SWE,1981.0,22.9,Europe & Central Asia,High income
Thailand,THA,1981.0,45.2,East Asia & Pacific,Upper middle income
Uruguay,URY,1981.0,43.6,Latin America & Caribbean,High income
United States,USA,1981.0,35.5,North America,High income
"Venezuela, RB",VEN,1981.0,55.6,Latin America & Caribbean,
Brazil,BRA,1982.0,58.4,Latin America & Caribbean,Upper middle income
Canada,CAN,1982.0,32.9,North America,High income
Switzerland,CHE,1982.0,36.0,Europe & Central Asia,High income
United Kingdom,GBR,1982.0,29.9,Europe & Central Asia,High income
Italy,ITA,1982.0,29.2,Europe & Central Asia,High income
United States,USA,1982.0,36.7,North America,High income
Bangladesh,BGD,1983.0,25.9,South Asia,Lower middle income
Brazil,BRA,1983.0,58.9,Latin America & Caribbean,Upper middle income
United Kingdom,GBR,1983.0,29.8,Europe & Central Asia,High income
India,IND,1983.0,27.2,South Asia,Lower middle income
Italy,ITA,1983.0,29.8,Europe & Central Asia,High income
Netherlands,NLD,1983.0,28.4,Europe & Central Asia,High income
United States,USA,1983.0,37.3,North America,High income
Brazil,BRA,1984.0,58.3,Latin America & Caribbean,Upper middle income
Canada,CAN,1984.0,33.5,North America,High income
China,CHN,1984.0,27.1,East Asia & Pacific,Upper middle income
France,FRA,1984.0,33.4,Europe & Central Asia,High income
United Kingdom,GBR,1984.0,29.2,Europe & Central Asia,High income
Indonesia,IDN,1984.0,32.3,East Asia & Pacific,Upper middle income
Italy,ITA,1984.0,31.3,Europe & Central Asia,High income
Morocco,MAR,1984.0,36.5,Middle East & North Africa,Lower middle income
Mexico,MEX,1984.0,48.5,Latin America & Caribbean,Upper middle income
Malaysia,MYS,1984.0,48.5,East Asia & Pacific,Upper middle income
Nepal,NPL,1984.0,30.1,South Asia,Lower middle income
United States,USA,1984.0,37.3,North America,High income
Australia,AUS,1985.0,32.5,East Asia & Pacific,High income
Belgium,BEL,1985.0,25.2,Europe & Central Asia,High income
Bangladesh,BGD,1985.0,26.9,South Asia,Lower middle income
Brazil,BRA,1985.0,55.5,Latin America & Caribbean,Upper middle income
Botswana,BWA,1985.0,54.2,Sub-Saharan Africa,Upper middle income
Canada,CAN,1985.0,33.2,North America,High income
Cote d'Ivoire,CIV,1985.0,45.5,Sub-Saharan Africa,Lower middle income
Spain,ESP,1985.0,34.4,Europe & Central Asia,High income
United Kingdom,GBR,1985.0,30.4,Europe & Central Asia,High income
Sri Lanka,LKA,1985.0,32.5,South Asia,Lower middle income
Luxembourg,LUX,1985.0,26.3,Europe & Central Asia,High income
Nigeria,NGA,1985.0,38.7,Sub-Saharan Africa,Lower middle income
Peru,PER,1985.0,45.6,Latin America & Caribbean,Upper middle income
Philippines,PHL,1985.0,41.0,East Asia & Pacific,Lower middle income
Poland,POL,1985.0,25.1,Europe & Central Asia,High income
Tunisia,TUN,1985.0,43.4,Middle East & North Africa,Lower middle income
United States,USA,1985.0,37.6,North America,High income
Argentina,ARG,1986.0,42.8,Latin America & Caribbean,Upper middle income
Brazil,BRA,1986.0,58.4,Latin America & Caribbean,Upper middle income
Canada,CAN,1986.0,31.7,North America,High income
Cote d'Ivoire,CIV,1986.0,38.0,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,1986.0,34.4,Latin America & Caribbean,High income
Dominican Republic,DOM,1986.0,47.8,Latin America & Caribbean,Upper middle income
United Kingdom,GBR,1986.0,31.9,Europe & Central Asia,High income
Guatemala,GTM,1986.0,54.1,Latin America & Caribbean,Upper middle income
"Iran, Islamic Rep.",IRN,1986.0,47.4,Middle East & North Africa,Upper middle income
Israel,ISR,1986.0,36.5,Middle East & North Africa,High income
Italy,ITA,1986.0,31.2,Europe & Central Asia,High income
Jordan,JOR,1986.0,36.1,Middle East & North Africa,Lower middle income
Lesotho,LSO,1986.0,56.0,Sub-Saharan Africa,Lower middle income
Luxembourg,LUX,1986.0,28.1,Europe & Central Asia,High income
Norway,NOR,1986.0,24.6,Europe & Central Asia,High income
Poland,POL,1986.0,28.0,Europe & Central Asia,High income
United States,USA,1986.0,37.6,North America,High income
Argentina,ARG,1987.0,45.3,Latin America & Caribbean,Upper middle income
Brazil,BRA,1987.0,59.6,Latin America & Caribbean,Upper middle income
Canada,CAN,1987.0,31.7,North America,High income
Chile,CHL,1987.0,56.2,Latin America & Caribbean,High income
China,CHN,1987.0,29.4,East Asia & Pacific,Upper middle income
Cote d'Ivoire,CIV,1987.0,40.5,Sub-Saharan Africa,Lower middle income
Denmark,DNK,1987.0,26.2,Europe & Central Asia,High income
Ecuador,ECU,1987.0,50.5,Latin America & Caribbean,Upper middle income
Finland,FIN,1987.0,22.2,Europe & Central Asia,High income
United Kingdom,GBR,1987.0,33.9,Europe & Central Asia,High income
Ghana,GHA,1987.0,35.3,Sub-Saharan Africa,Lower middle income
Hungary,HUN,1987.0,20.9,Europe & Central Asia,High income
Indonesia,IDN,1987.0,30.4,East Asia & Pacific,Upper middle income
India,IND,1987.0,27.5,South Asia,Lower middle income
Ireland,IRL,1987.0,35.5,Europe & Central Asia,High income
Italy,ITA,1987.0,34.2,Europe & Central Asia,High income
Luxembourg,LUX,1987.0,29.5,Europe & Central Asia,High income
Mauritania,MRT,1987.0,43.9,Sub-Saharan Africa,Lower middle income
Malaysia,MYS,1987.0,47.0,East Asia & Pacific,Upper middle income
Netherlands,NLD,1987.0,26.8,Europe & Central Asia,High income
Pakistan,PAK,1987.0,33.3,Middle East & North Africa,Lower middle income
Poland,POL,1987.0,25.5,Europe & Central Asia,High income
Slovenia,SVN,1987.0,23.6,Europe & Central Asia,High income
Sweden,SWE,1987.0,23.1,Europe & Central Asia,High income
Turkiye,TUR,1987.0,41.0,Europe & Central Asia,Upper middle income
United States,USA,1987.0,37.2,North America,High income
