country,mean,std
South Africa,62.4,2.6758176320519302
Namibia,61.13333333333333,2.103172207246312
Botswana,57.76666666666667,3.3842773723992177
Brazil,53.97727272727273,2.3286889461223006
Colombia,53.63181818181818,2.208293105898407
Eswatini,53.03333333333333,1.601041327803046
Honduras,52.56666666666667,4.0544214548235304
Panama,52.24347826086956,2.439788755191826
Zambia,51.71666666666667,4.985345190321994
Comoros,50.599999999999994,7.495331880577402
Guatemala,50.55,4.56836951220017
Haiti,50.05,12.657211383239197
Central African Republic,49.6,9.333809511662428
Mozambique,49.339999999999996,3.3291139962458463
Paraguay,49.20416666666667,3.9714720922738684
Bolivia,49.07272727272727,6.582674360136747
Mexico,48.684615384615384,2.80975863549586
Costa Rica,48.636,1.323152800447978
Angola,48.63333333333333,5.147167505855361
Ecuador,48.20434782608696,3.667607377230794
"Congo, Rep.",48.099999999999994,1.1313708498984796
Lesotho,48.05,4.45477272147525
Nicaragua,47.95,3.8596200158392087
"Venezuela, RB",47.550000000000004,1.6318700928689145
Chile,47.37,2.8867705908929473
Cabo Verde,47.36666666666667,5.052062285179523
Rwanda,45.98333333333333,4.320840967527812
Zimbabwe,45.93333333333334,3.8214307966170638
Dominican Republic,45.903999999999996,4.7432829699832775
Peru,45.716,4.193216744537144
South Sudan,45.15,1.6263455967290572
Argentina,44.87083333333334,3.992327333302203
Philippines,44.577777777777776,3.071147089353495
El Salvador,43.96521739130434,4.60776111040849
Grenada,43.8,
St. Lucia,43.7,
Cameroon,43.425,2.139119756660045
Uganda,43.13333333333333,1.436198686347634
Malaysia,43.1125,2.292495521104829
Ghana,42.9,0.5567764362830034
"Congo, Dem. Rep.",42.800000000000004,1.6643316977093237
Djibouti,42.7,2.32522400354604
Uruguay,42.431999999999995,2.58694156614846
Togo,42.32,2.89775775385038
Jamaica,42.25,5.802011145571278
Malawi,42.15,3.4693899559816943
Papua New Guinea,41.9,
Madagascar,41.82,3.9041004085448434
Solomon Islands,41.6,6.363961030678928
Turkiye,41.44285714285714,1.9012026269105136
"Gambia, The",41.4,5.055030497764909
"Micronesia, Fed. Sts.",41.25,1.6263455967290572
United States,41.02916666666667,0.6334715714884592
Seychelles,40.56666666666666,7.600219295081773
Samoa,40.46666666666667,1.6623276853055564
Benin,40.38,5.155773462827863
Morocco,40.26666666666667,0.6658328118479435
Israel,40.20952380952381,1.5883654371412022
Gabon,40.1,2.9698484809835017
Kenya,39.96,3.9690049130732974
Belize,39.9,
Burkina Faso,39.76,3.4818098741889973
Cote d'Ivoire,39.7,3.303785707336357
China,39.675000000000004,2.4569628948493913
Chad,39.5,2.7652606869274834
Suriname,39.2,
Tuvalu,39.1,
Senegal,39.04,1.9295077092356996
Tanzania,38.974999999999994,1.6600702796367806
Sri Lanka,38.61666666666667,1.5052131631987111
Guinea-Bissau,38.6,8.051500895278265
Equatorial Guinea,38.5,
Thailand,37.99047619047619,2.8455060642888728
Russian Federation,37.94583333333333,2.796267569250226
North Macedonia,37.80555555555556,3.6020373682978897
Georgia,37.108000000000004,1.91635939565973
"Iran, Islamic Rep.",37.0125,3.3728079300982032
Mauritius,37.0,1.4106735979665874
Bulgaria,36.96,3.23686007697193
Bhutan,36.739999999999995,4.788841195947092
Mali,36.7,2.750454507895013
Tunisia,36.7,3.3637776383108333
Sierra Leone,36.63333333333333,3.2036437588054856
Burundi,36.5,2.7404379212089456
Fiji,36.475,4.141155233345722
Guinea,36.425,5.946637705460121
Niger,36.28333333333333,4.6088682631061
Viet Nam,36.25454545454546,1.218493854201682
Syrian Arab Republic,36.15,6.498461356351977
Nigeria,36.03333333333333,2.115340792086861
Mauritania,35.9,3.682390527904394
Portugal,35.84761904761905,1.7223876008666144
Lao PDR,35.7,2.54296414970142
"Yemen, Rep.",35.7,1.4142135623730951
Nepal,35.53333333333333,7.29474696842415
Latvia,35.50909090909091,1.2561881459433768
Marshall Islands,35.5,
Lithuania,35.37916666666667,1.8923137819281908
Qatar,35.1,
Maldives,35.075,5.698172221569532
Liberia,34.96666666666667,1.6258331197676228
Kosovo,34.9,9.264515637635892
Vanuatu,34.849999999999994,3.6062445840513906
Sudan,34.8,0.8485281374238515
